"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08","WT09"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-01","3.8"," 0713","0.0",,,,"2.2","-2.7","   10","   10","7.2","9.8","    1",,,,"    1",
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-02","4.4"," 1623","0.0",,,,"0.0","-2.7","  250","  260","9.4","12.5","    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-03","5.1"," 1837","0.0",,,,"5.0","-3.8","  210","  210","7.6","13.0","    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-04","3.6"," 0737","0.0",,,,"10.0","0.0","  220","  180","6.7","9.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-05","3.6"," 1355","0.0",,,,"11.7","-0.5","  250","  250","7.6","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-06","5.7"," 2124","0.0",,,,"5.6","2.8","  120","  130","9.8","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-07","7.8"," 1256","9.7",,,,"12.8","5.0","  240","  180","11.6","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-08","7.1"," 1821","0.0",,,,"8.3","-3.2","  290","  270","15.7","21.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-09","6.7"," 0050","0.0",,,,"-3.2","-8.2","  290","  300","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-10","2.4"," 0009","0.0",,,,"-3.8","-9.3","  340","  340","7.2","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-11","2.7"," 0956","0.0",,,,"-0.5","-5.5","  170","  160","6.3","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-12","5.3"," 2004","1.8",,,,"0.0","-1.0","   80","   70","9.8","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-13","5.4"," 0216","0.0",,,,"0.0","-2.7","   70","   60","9.4","12.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-14","4.2"," 1928","0.0",,,,"-2.1","-6.0","  280","  260","7.2","9.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-15","5.8"," 1553","0.0",,,,"0.6","-3.8","  240","  250","9.8","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-16","4.1"," 1543","0.0",,,,"1.7","-1.6","   60","   60","7.2","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-17","2.6"," 1805","0.0",,,,"2.2","-1.6","  300","  280","5.8","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-18","4.9"," 1916","0.0",,,,"0.0","-1.6","   70","   60","9.8","12.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-19","9.2"," 2035","1.0",,,,"-1.6","-9.3","   10","  360","13.0","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-20","6.4"," 0336","0.0",,,,"-7.7","-13.8","  350","  350","9.4","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-21","4.2"," 2245","0.0",,,,"-9.3","-13.2","  140","  140","8.1","11.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-22","4.6"," 0801","2.8",,,,"2.2","-10.5","  170","  170","8.9","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-23","4.3"," 1402","4.8",,,,"1.7","-6.0","  290","  280","7.6","9.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-24","5.7"," 1822","0.0",,,,"-4.9","-16.0","  290","  270","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-25","5.1"," 0013","0.0",,,,"-13.8","-20.5","  290","  300","8.9","12.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-26","3.1"," 1402","0.8",,,,"-10.5","-20.5","  290","  180","8.1","11.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-27","3.4"," 2058","0.0",,,,"-11.0","-18.8","  120","  150","6.3","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-28","6.8"," 1617","6.4",,,,"1.7","-12.7","  310","  270","10.7","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-29","7.9"," 1529","0.0",,,,"-11.6","-22.7","  270","  250","11.6","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-30","7.5"," 0102","0.0",,,,"-22.7","-29.9","  290","  290","10.7","15.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-01-31","3.0"," 1258","0.8",,,,"-16.6","-28.8","  240","  270","6.3","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-01","2.7"," 2011","0.0",,,,"-6.0","-16.6","  160","  130","5.4","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-02","4.7"," 1849","0.0",,,,"5.0","-9.3","  220","  170","7.6","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-03","4.7"," 1245","0.0",,,,"9.4","3.3","  210","  180","7.2","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-04","5.2"," 0939","0.5",,,,"10.6","-1.0","  270","  190","8.9","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-05","4.5"," 1523","6.6",,,,"1.1","-2.7","   60","   60","9.4","11.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-06","3.5"," 2023","1.0",,,,"3.3","0.6","   60","   60","7.2","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-07","6.2"," 1946","10.7",,,,"7.8","-11.6","  260","  270","16.1","23.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-08","8.3"," 0049","0.0",,,,"-9.3","-14.9","  250","  240","16.1","22.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-09","2.8"," 0205","0.0",,,,"-3.2","-13.8","  300","  290","6.3","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-10","3.0"," 0915","1.0",,,,"-1.6","-4.9","  110","  100","6.3","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-11","5.7"," 2116","4.8",,,,"0.0","-1.6","   80","   80","10.3","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-12","6.8"," 2338","6.6",,,,"0.6","-6.0","  260","  270","13.4","20.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-13","7.0"," 0056","0.0",,,,"-1.0","-10.5","  270","  270","13.0","18.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-14","5.2"," 2334","0.0",,,,"7.8","-1.0","  280","  270","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-15","6.1"," 0151","0.0",,,,"0.6","-11.6","  290","  290","11.6","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-16","4.5"," 2346","0.0",,,,"-1.0","-7.7","  110","  110","8.1","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-17","5.0"," 1014","2.3",,,,"-1.6","-3.8","  100","   80","8.1","11.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-18","3.3"," 1049","0.5",,,,"-0.5","-5.5","  360","   30","6.3","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-19","2.3"," 2230","0.0",,,,"0.6","-9.9","  100","   90","6.3","8.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-20","6.4"," 2334","1.0",,,,"2.8","-1.6","  250","  250","11.2","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-21","5.1"," 0113","0.0",,,,"1.7","-3.2","  260","  270","10.7","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-22","3.6"," 2319","0.0",,,,"3.3","-4.9","  100","   90","6.7","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-23","4.2"," 2301","10.7",,,,"9.4","1.7","  220","  220","14.3","21.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-24","11.6"," 1116","0.3",,,,"7.8","-9.9","  270","  270","17.9","26.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-25","4.6"," 0023","0.0",,,,"-4.9","-13.2","  280","  270","12.5","17.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-26","5.7"," 1801","0.0",,,,"-3.8","-7.7","   60","   70","8.9","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-27","4.4"," 1614","0.0",,,,"0.0","-8.2","  280","  330","8.1","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-02-28","2.1"," 0001","0.0",,,,"-2.1","-10.5","  350","  360","6.3","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-01","2.4"," 1424","0.0",,,,"1.1","-3.8","   60","   80","5.4","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-02","4.0"," 0949","0.0",,,,"1.7","-2.1","  350","  350","7.2","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-03","5.3"," 0533","0.0",,,,"-2.1","-14.3","  360","  360","9.4","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-04","6.9"," 2056","0.0",,,,"-9.3","-18.8","  260","  260","10.7","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-05","7.4"," 1705","0.0",,,,"-5.5","-12.7","  280","  280","11.2","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-06","5.8"," 1445","0.0",,,,"0.0","-12.1","  260","  250","9.8","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-07","2.9"," 0221","0.0",,,,"-2.1","-8.8","  340","  330","7.2","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-08","2.8"," 1505","0.0",,,,"3.9","-4.9","   90","   80","5.4","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-09","6.3"," 2329","9.4",,,,"6.7","-1.6","  260","  270","14.8","24.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-10","9.4"," 0025","0.0",,,,"3.9","-1.0","  260","  240","16.5","24.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-11","4.3"," 1448","0.0",,,,"6.1","-2.1","  310","  260","7.2","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-12","4.0"," 1531","0.0",,,,"9.4","-3.2","  180","  180","8.9","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-13","5.5"," 2346","11.9",,,,"16.1","5.0","  150","  150","10.3","14.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-14","8.6"," 1436","8.1",,,,"17.8","4.4","  250","  250","16.5","23.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-15","7.2"," 0013","0.0",,,,"4.4","0.0","  240","  240","13.0","18.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-16","4.3"," 1350","0.0",,,,"6.1","-1.6","  260","  250","7.6","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-17","3.2"," 1248","0.0",,,,"7.2","-1.6","  340","  260","8.1","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-18","3.3"," 1508","0.0",,,,"7.2","-2.1","  300","  260","7.2","10.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-19","3.6"," 1513","0.0",,,,"10.0","-1.0","  270","  210","7.2","9.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-20","4.2"," 1052","2.0",,,,"7.2","4.4","  270","  170","7.6","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-21","4.7"," 0650","0.0",,,,"7.8","2.8","  350","  360","8.9","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-22","5.0"," 1036","0.0",,,,"8.3","-0.5","   40","   30","9.8","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-23","2.0"," 1748","0.0",,,,"11.7","-2.7","  220","  180","5.4","7.2","    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-24","3.5"," 2318","2.8",,,,"10.6","2.2","   30","   20","9.4","12.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-25","7.1"," 0539","0.0",,,,"6.1","-1.0","   40","   40","11.2","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-26","2.5"," 0800","0.0",,,,"7.8","-2.7","   90","   90","5.4","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-27","5.4"," 1941","2.0",,,,"15.0","-0.5","  200","  190","9.4","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-28","5.1"," 0510","0.3",,,,"18.3","1.1","  240","  210","8.1","12.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-29","3.7"," 2329","9.9",,,,"12.8","3.9","   30","   40","7.2","8.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-30","6.2"," 1500","5.6",,,,"6.7","-0.5","   30","   30","11.2","15.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-03-31","5.6"," 1312","0.0",,,,"4.4","-4.3","  320","  320","9.8","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-01","5.7"," 1321","0.0",,,,"9.4","-2.7","  200","  190","10.7","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-02","6.4"," 1318","0.0",,,,"13.9","3.3","  260","  240","11.2","15.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-03","4.1"," 1925","0.5",,,,"15.0","2.8","  250","  240","9.4","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-04","4.7"," 1714","7.6",,,,"8.9","4.4","  100","   80","8.9","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-05","1.8"," 0152","0.0",,,,"13.9","5.0","  130","  130","5.8","7.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-06","2.5"," 1526","0.0",,,,"18.3","5.0","  110","   80","6.7","9.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-07","4.5"," 1849","2.0",,,,"21.1","11.7","  270","  260","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-08","3.7"," 2032","0.0",,,,"23.3","11.7","  270","  210","7.6","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-09","5.4"," 2028","0.0",,,,"20.0","5.0","   20","   20","13.9","17.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-10","7.7"," 2250","1.5",,,,"5.6","2.2","   60","   50","13.0","17.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-11","6.2"," 0038","8.6",,,,"16.1","3.9","   70","   80","11.6","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-12","8.3"," 1156","3.3",,,,"12.2","3.9","  220","  230","14.8","21.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-13","5.9"," 1249","0.0",,,,"12.2","2.8","  260","  270","10.7","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-14","7.4"," 1238","11.4",,,,"4.4","0.6","   60","   40","12.5","16.1",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-15","3.8"," 1630","0.0",,,,"12.2","-0.5","  210","  210","7.2","10.7",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-16","4.6"," 0409","0.0",,,,"23.9","8.3","   40","  210","8.1","11.6",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-17","5.4"," 1647","0.0",,,,"25.0","8.9","  210","  170","11.2","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-18","5.4"," 2349","13.2",,,,"18.3","6.7","  360","   10","9.8","13.4",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-19","9.8"," 1345","0.0",,,,"9.4","5.0","   20","   20","14.8","21.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-20","6.4"," 1153","0.0",,,,"18.3","5.0","   10","   10","11.6","16.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-21","3.7"," 1716","0.0",,,,"25.6","7.2","  180","  170","7.6","14.8",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-22","6.0"," 1310","4.8",,,,"26.7","14.4","  210","  210","10.7","17.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-23","3.7"," 0110","0.0",,,,"18.9","10.0","  270","  280","10.3","13.9",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-24","2.6"," 1538","0.0",,,,"18.3","7.2","  120","  130","6.3","8.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-25","3.0"," 2302","0.8",,,,"18.9","8.3","  350","   10","13.4","18.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-26","7.0"," 0028","0.8",,,,"18.3","10.0","  330","  340","12.5","19.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-27","5.7"," 1840","21.6",,,,"10.6","0.6","   30","   10","10.7","15.2",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-28","5.0"," 1300","0.0",,,,"11.1","1.1","   70","   80","8.1","12.5",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-29","4.7"," 0743","29.0",,,,"11.7","6.1","  160","  180","12.5","18.3",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-04-30","5.0"," 1642","32.8",,,,"10.0","4.4","   90","   80","9.4","13.0",,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2019-05-01","4.3"," 0836","15.5",,,,"16.1","7.2","  240","  230","10.7","16.1",,,,,,
